"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Test ApiDemos app functionality on emulator","47506","Verify ApiDemos home screen categories","","2026-01-26","passed","2026-01-26","","ApiDemos App Tests","Verify ApiDemos home screen categories",""
"  Test ApiDemos app functionality on emulator","34367","Navigate to Alert Dialogs","","2026-01-26","passed","2026-01-26","","ApiDemos App Tests","Navigate to Alert Dialogs",""
