"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","iOS MyDemoApp Tests","0","1","Login with a listed user","0"
"0","","0","iOS MyDemoApp Tests","0","1","Verify login screen","0"
