"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","iOS MyDemoApp Tests","0","0","Login with a listed user","0"
"0","","0","iOS MyDemoApp Tests","0","1","Verify login screen","0"
