"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Validate MyDemoApp login flow on iOS simulator","38259","Login with a listed user","","2026-01-27","broken","2026-01-27","","iOS MyDemoApp Tests","Login with a listed user",""
"  Validate MyDemoApp login flow on iOS simulator","336622","Verify login screen","","2026-01-27","skipped","2026-01-27","","iOS MyDemoApp Tests","Verify login screen",""
